,"north british railway","caledonian railway","glasgow &#38; south western railway","j. &#38; p. coats","great north of scotland railway","highland railway","forth bridge railway","consolidated tea &#38; lands","linen thread","burmah oil","united collieries","north british locomotive",distillers,"stewarts and lloyds","lanarkshire &#38; dumbartonshire railway","glasgow district subway","tharsis sulphur &#38; copper","moss empires","kanan devan hills produce","william mcewan","william younger","barry, ostlere &#38; shepherd","west highland railway","anglo-american direct tea trading","alex pirie &#38; sons","amalgamated tea estates","coltness iron","fife coal","callander &#38; oban railway","nobel&#39;s explosives","george younger &#38; son","arizona copper","irrawaddy flotilla","scottish gympie gold mines","allan line steamships","clyde valley electrical power","john dewar &#38; sons","lothians electric power","scottish central electric power","summerlee iron","anchor line (henderson bros.)","british dyewood &#38; chemical","acadia sugar refining","rivet bolt &#38; nut","james dunlop","lanarkshire &#38; ayrshire railway","david &#38; william henderson","clan line steamers","fairfield shipbuilding and engineering","wemyss collieries trust","steel company of scotland","dailuane-talisker distilleries","young&#39;s paraffin ligth &#38; mineral oil","bulloch lade","lanarkshire steel","glengarnock iron &#38; steel","fresno copper","lothian coal","scottish waggon","argyll motors","robertson, sanderson","a.f. stoddard","victoria jute","broxburn oil","bank of scotland","national bank of scotland","commercial bank of scotland","royal bank of scotland","union bank of scotland","british linen co., bank","clydesdale bank","north of scotland bank","scottish widows fund life ass.","north british &#38; mercantile ins.","scottish provident institution","standard life ass.","life association of scotland","scottish equitable life ass.","general accident, fire &#38; life ass.","scottish amicable life ass.","scottish union &#38; national ins.","edinburgh life ass.","city of glasgow life ass.","caledonian ass.","national guarantee &#38; suretyship association","scottish imperial ins.","new zealand &#38; australian land","british investment trust","scottish american investment","scottish american mortgage","alliance trust","north of scotland canadian mortgage","northern american trust","australasian mortgage &#38; agency","edinburgh investment trust","investors&#39; mortgage security","north british canadian investment","oregon mortgage","scottish investment trust","scottish reversionary","american mortgage co. of scotland","realisation &#38; debenture corp. of scotland","second scottish american trust","third scottish american trust","united states mortgage co. of scotland","edinburgh american land mortgage","transvaal proprietary","reversionary association","earl of dalkeith","carlow, c.","gilroy, a.(b.)","grierson, h.","mccosh, a.k.","macpherson, h.s.","simpson, a.","younger, h.g.","thompson, sir j.","king, sir j.","mitchell-thompson, sir m.","tod, d.","marquess of breadalbane","brown, h.","renshaw, sir c.b.","cox, e.","houldsworth, j.h.","lord newlands","allan, h.","vernon, g.r.","younger, w.","bell, sir j.","arthur, sir m.","earl of glasgow","lorimer, w.","maxwell, sir h.e.","glen-coats, sir t.","arrol, sir w.","clark, s.","adam, t.","crombie, t.","wilson, r.m.","fothringham, w.s.","stewart, j.g.","duke of sutherland","dalgleish, sir w.o.","lord balfour of burleigh","muir, sir a.k.","moncrieffe, sir r.d.","muir, j.f.","tullis, j.t.","brown, a.m.","scott, r.","hannay, d.m.","knox, sir j.","gow, l.","innes, j.","mungall, h.","richmond, sir d.","mcnab, a.","harvey, j.b.","donaldson, w.a.","denny, j.m.","smith, j.p.","tennant, sir c.","alexander, t.","couper, j.","sinclair, r.m.","aitken, t.","jordan, j.","anstruther, sir r.w.","younger, g.","hilliard, j.b.","russell, d.","hood, j.a.","r&#252;ffer, h.","mclaren, w.s.b.","gordon, h.e.","mason, t.","strain, j.","watt, a.","davidson, j.h.","stewart, r.k.","buchanan, j.h.","sanderson, a.","blair, w.","marquess of linlithgow","mure, w.j.","trotter, j.m.","jamieson, j.a.","dunlop, g.","earl of mansfield","mylne, j.","cowan, john","blair, p.","ker, c.","davidson, w.s.","black, a.d.m.","marquess of tweedale","macrae, sir c.g.","rankine, j.","mounsey, j.l.","duke of buccleuch and queensberry","earl of elgin and kincardine","dundas, ralph","wright, j.p.","carmichael, sir t.d.g.","haldane, j.","cook, sir h.","maconochie, c.c.","grant, sir l.j.","pitman, a.r.c.","ritchie, d.","tait, j.s.","thomson, s.","blyth, r.","findlay, r.e.","balfour, c.b.","dundas, robert","cowan, j.j.","sanderson, w.","cowan, d.","davidson, e.a.","macdonald, j.","murray, p.","whigham, c.f.","ivory, j.","johnston, w.c.","murray, w.h.","pitman, j.c.","peddie, j.m.d.","barclay, g.","guthrie, sir j.","stewart, r.","smith, w.c.","campbell, p.w.","maitland, t.","duncan, a.r.","wallace, a.","whitton, a.","don, r.b.","fraser, w.s.","mackenzie, w.","menzies, c.d.","torrie, r.j.","campbell, j."
"north british railway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"caledonian railway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"glasgow &#38; south western railway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"j. &#38; p. coats",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"great north of scotland railway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"highland railway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"forth bridge railway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consolidated tea &#38; lands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"linen thread",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"burmah oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
